rank,player_name,rating,games_played,confidence,last_seen
222,Anti,1535.22,1,0.03,2025-09-08
223,aMunoz,1534.95,1,0.03,2025-08-14
224,Harold,1533.83,1,0.03,2025-09-23
225,FallenCappy,1531.74,1,0.03,2025-10-28
226,augustboyer198,1531.06,6,0.2,2025-11-08
227,Lethys,1530.17,1,0.03,2025-08-10
228,HussainAbul,1528.83,1,0.03,2025-07-24
229,flyerstorm,1528.52,1,0.03,2025-10-18
230,Ogera,1528.44,1,0.03,2025-08-27
231,favouritebanjo61,1528.09,1,0.03,2025-10-24
232,Augustin,1527.63,2,0.07,2025-08-19
233,Bwooo,1527.56,4,0.13,2025-11-06
234,Legacy of Roo,1527.45,1,0.03,2025-08-03
235,Fisssh,1527.09,1,0.03,2025-07-28
236,Da Dang,1526.17,2,0.07,2025-10-30
237,thegreyoldfox,1525.5,1,0.03,2025-08-31
238,Götterspeise,1525.5,2,0.07,2025-08-29
239,WAYNE ROONEY.[10],1525.13,1,0.03,2025-07-31
240,Lidl trolly,1523.99,1,0.03,2025-08-01
241,Boo Bear,1523.8,1,0.03,2025-10-13
242,mfghades,1522.61,2,0.07,2025-08-28
243,Turn,1521.87,1,0.03,2025-11-06
244,Galejro,1521.84,3,0.1,2025-08-04
245,morselco,1521.46,1,0.03,2025-11-02
246,Coyface,1521.4,2,0.07,2025-10-29
247,Ping-999,1521.4,2,0.07,2025-10-07
248,Spike,1520.92,1,0.03,2025-09-21
249,Tyranus,1520.64,5,0.17,2025-08-23
250,Your Supervisor,1520.52,1,0.03,2025-07-23
251,obj. obj. obj.,1519.25,6,0.2,2025-09-28
252,Nexinex,1518.25,1,0.03,2025-10-14
253,Petter,1518.01,1,0.03,2025-10-03
254,Saplow,1517.41,2,0.07,2025-10-26
255,Liberty,1515.58,1,0.03,2025-09-28
256,lgautschi,1513.37,2,0.07,2025-08-04
257,Ashby,1512.93,1,0.03,2025-10-22
258,Spontanuel,1511.79,1,0.03,2025-09-19
259,raffael,1510.73,1,0.03,2025-11-09
260,Equipollence,1510.58,1,0.03,2025-08-24
261,AnchorTide,1510.27,2,0.07,2025-10-14
262,Hello there,1509.6,2,0.07,2025-07-28
263,jakeolsen,1508.83,1,0.03,2025-08-09
264,LOL,1508.51,1,0.03,2025-10-21
265,BROK3N Fury,1507.83,1,0.03,2025-10-25
266,Mouldy,1507.11,1,0.03,2025-11-02
267,Marxist Ape,1506.89,1,0.03,2025-07-25
268,thefiresauce,1506.53,3,0.1,2025-10-31
269,SpiritWeasel,1505.31,3,0.1,2025-10-08
270,Skaer,1504.77,1,0.03,2025-09-22
271,1486846506,1503.01,1,0.03,2025-07-23
272,Nihil,1502.23,3,0.1,2025-10-21
273,Lansquenet [FR],1501.89,3,0.1,2025-11-09
274,Veit_the_Insane,1501.22,1,0.03,2025-10-31
