player1,player2,total_encounters,p1_wins,p2_wins,p1_avg_rank,p2_avg_rank,avg_combined_rank,closeness,elite_score
Mubirobiro [BR],rudedawg,14,12,2,7.07,17.5,12.29,0.1905,1.14
N Prime,rudedawg,25,19,6,7.6,16.24,11.92,0.2909,2.1
Rosewood,rudedawg,23,17,6,9.22,17.26,13.24,0.3366,1.74
S31gn3ur Chr3t13n,rudedawg,39,30,9,10.36,16.87,13.62,0.2251,2.86
Sigmar Male,soc.from.ub.kodao,7,2,5,13.0,6.71,9.86,0.4969,0.71
Skoops!,rudedawg,11,9,2,11.55,20.55,16.05,0.2694,0.69
TheHunter222,Xrenoid,26,8,18,14.92,8.27,11.6,0.4103,2.24
TheHunter222,btroitsk,23,9,14,13.17,9.39,11.28,0.6261,2.04
TheHunter222,rudedawg,13,10,3,12.15,19.0,15.58,0.3419,0.83
TheHunter222,soc.from.ub.kodao,10,1,9,16.3,3.4,9.85,0.1429,1.02
Xrenoid,rudedawg,22,18,4,9.64,17.77,13.7,0.2139,1.61
Yngvi,rudedawg,11,7,4,13.36,19.82,16.59,0.6324,0.66
btroitsk,rudedawg,28,21,7,11.29,18.43,14.86,0.2941,1.88
flowerlady32,rudedawg,11,7,4,19.64,19.64,19.64,0.6324,0.56
hrejarz2,rudedawg,16,6,10,22.38,16.38,19.38,0.625,0.83
masterv5983,rudedawg,29,15,14,15.1,15.0,15.05,0.9195,1.93
orutra621,rudedawg,11,4,7,19.36,16.18,17.77,0.6324,0.62
rudedawg,soc.from.ub.kodao,31,8,23,16.81,6.84,11.82,0.2949,2.62
Bidderlyn,Lemonhammer,7,6,1,13.14,23.86,18.5,0.2286,0.38
BjornderBaer,jax,11,3,8,19.18,17.18,18.18,0.4364,0.6
Ghost,rudedawg,27,19,8,12.52,17.52,15.02,0.3823,1.8
HZaninelli,elmrealm,19,7,12,17.37,13.11,15.24,0.5895,1.25
HZaninelli,rudedawg,15,5,10,20.93,15.0,17.97,0.5333,0.83
InFecTed,jax,8,4,4,20.38,17.25,18.81,1.0,0.43
InFecTed,rudedawg,12,3,9,18.42,12.42,15.42,0.3846,0.78
Lemonhammer,soc.from.ub.kodao,7,0,7,23.86,8.29,16.07,0.0,0.44
Quali,rudedawg,35,20,15,11.43,16.63,14.03,0.6857,2.49
Sensei Snoops,rudedawg,10,5,5,16.9,15.5,16.2,1.0,0.62
Xrenoid,elegantmechanic,8,7,1,7.38,21.25,14.31,0.1923,0.56
btroitsk,elegantmechanic,8,7,1,11.38,21.12,16.25,0.1923,0.49
elegantmechanic,jax,8,3,5,20.38,10.62,15.5,0.6818,0.52
elegantmechanic,soc.from.ub.kodao,7,1,6,18.0,7.0,12.5,0.2286,0.56
elmrealm,jax,16,11,5,12.56,17.19,14.88,0.4808,1.08
elmrealm,rudedawg,16,8,8,15.31,16.81,16.06,1.0,1.0
jax,rudedawg,18,10,8,16.56,17.5,17.03,0.8081,1.06
HZaninelli,JarJar,20,11,9,18.6,18.75,18.68,0.8182,1.07
HZaninelli,Rubens,29,6,23,18.0,7.59,12.79,0.2237,2.27
JarJar,Quali,59,9,50,17.19,8.64,12.92,0.1,4.57
JarJar,Rubens,21,2,19,18.05,8.0,13.02,0.103,1.61
JarJar,elmrealm,14,3,11,17.5,12.93,15.21,0.3061,0.92
JarJar,jax,12,7,5,19.83,19.5,19.67,0.7576,0.61
JarJar,maximeeepje,10,4,6,18.3,16.3,17.3,0.7273,0.58
Quali,Rubens,45,20,25,9.91,8.38,9.14,0.7111,4.92
Rubens,TheHunter222,15,12,3,7.4,12.8,10.1,0.2759,1.49
Rubens,elegantmechanic,8,6,2,12.12,17.25,14.69,0.4167,0.54
Rubens,elmrealm,19,11,8,8.11,12.21,10.16,0.7323,1.87
Rubens,jax,23,17,6,8.74,16.3,12.52,0.3366,1.84
Rubens,maximeeepje,10,7,3,6.8,11.2,9.0,0.5,1.11
TheHunter222,elmrealm,13,8,5,13.15,15.77,14.46,0.6689,0.9
TheHunter222,jax,7,5,2,13.57,16.14,14.86,0.4969,0.47
Barbaferro,Bidderlyn,23,5,18,16.61,7.65,12.13,0.2635,1.9
Barbaferro,Blumpo Gripliskin,15,3,12,15.33,6.07,10.7,0.2759,1.4
Barbaferro,Covert Skeleton,18,5,13,18.11,13.5,15.81,0.3968,1.14
Barbaferro,Mubirobiro [BR],7,1,6,17.86,5.71,11.79,0.2286,0.59
Barbaferro,[WGS-B] BK,11,6,5,17.36,15.91,16.64,0.8658,0.66
Barbaferro,flowerlady32,8,5,3,18.5,20.38,19.44,0.6818,0.41
Barbaferro,hrejarz2,20,14,6,14.7,21.45,18.08,0.4286,1.11
Barbaferro,jax,13,8,5,17.77,19.85,18.81,0.6689,0.69
Barbaferro,ppr74,11,6,5,14.0,17.64,15.82,0.8658,0.7
Barbaferro,rudedawg,15,7,8,16.67,16.73,16.7,0.8889,0.9
Barbaferro,smola_2005,12,6,6,17.42,17.42,17.42,1.0,0.69
Barbaferro,whazupbillion,7,5,2,18.14,22.14,20.14,0.4969,0.35
BjornderBaer,[WGS-B] BK,8,3,5,17.75,15.75,16.75,0.6818,0.48
BjornderBaer,whazupbillion,7,3,4,16.71,15.0,15.86,0.8163,0.44
Blumpo Gripliskin,lovci,7,6,1,8.71,18.0,13.36,0.2286,0.52
Covert Skeleton,[WGS-B] BK,19,13,6,12.37,18.16,15.26,0.4678,1.24
Kozlak,whazupbillion,9,7,2,13.11,21.89,17.5,0.3556,0.51
S31gn3ur Chr3t13n,lovci,7,4,3,13.71,18.0,15.86,0.8163,0.44
Shoshone,soc.from.ub.kodao,7,2,5,15.0,7.57,11.29,0.4969,0.62
TheDimedroll,[WGS-B] BK,7,3,4,16.57,17.14,16.86,0.8163,0.42
[WGS-B] BK,flowerlady32,15,8,7,16.27,18.47,17.37,0.8889,0.86
[WGS-B] BK,rudedawg,19,11,8,15.95,16.68,16.32,0.7323,1.16
[WGS-B] BK,whazupbillion,13,8,5,15.77,17.77,16.77,0.6689,0.78
lovci,soc.from.ub.kodao,7,2,5,18.0,7.71,12.86,0.4969,0.54
ppr74,rudedawg,10,7,3,17.1,19.1,18.1,0.5,0.55
rudedawg,smola_2005,14,6,8,20.79,17.29,19.04,0.7792,0.74
rudedawg,whazupbillion,11,4,7,20.45,19.64,20.05,0.6324,0.55
Barbaferro,Rubens,18,7,11,14.33,10.28,12.31,0.6481,1.46
Barbaferro,masterv5983,18,10,8,14.89,14.17,14.53,0.8081,1.24
Barbaferro,wœire,13,7,6,17.15,17.0,17.08,0.8791,0.76
Blumpo Gripliskin,Jells,9,9,0,6.22,22.67,14.44,0.0,0.62
Jells,Rubens,11,1,10,18.09,9.0,13.55,0.1254,0.81
Jells,jax,7,2,5,19.57,21.57,20.57,0.4969,0.34
Jells,masterv5983,7,2,5,18.29,13.29,15.79,0.4969,0.44
Jells,wœire,7,3,4,20.43,18.0,19.21,0.8163,0.36
Mubirobiro [BR],Rubens,14,5,9,8.07,8.36,8.21,0.5952,1.7
Rubens,S31gn3ur Chr3t13n,43,29,14,8.7,12.05,10.37,0.3721,4.15
Rubens,Yngvi,11,7,4,11.55,16.18,13.86,0.6324,0.79
