player1,player2,total_encounters,p1_wins,p2_wins,p1_avg_rank,p2_avg_rank,avg_combined_rank,closeness,elite_score
Grimning,Pask74,8,5,3,20.0,22.75,21.38,0.6818,0.37
Jeeda Sensei,Pask74,11,11,0,2.91,22.27,12.59,0.0,0.87
Pask74,Quali,10,0,10,21.8,6.6,14.2,0.0,0.7
Pask74,S31gn3ur Chr3t13n,7,0,7,23.43,5.57,14.5,0.0,0.48
Pask74,Siker_7,10,0,10,23.1,9.6,16.35,0.0,0.61
Pask74,Xrenoid,8,0,8,23.88,9.5,16.69,0.0,0.48
Pask74,blankE,7,3,4,20.57,15.29,17.93,0.8163,0.39
Pask74,ciga,8,1,7,25.25,13.38,19.31,0.1923,0.41
Pask74,tsromanow,7,1,6,22.43,15.14,18.79,0.2286,0.37
Conroy Milk,masterv5983,7,5,2,11.43,15.14,13.29,0.4969,0.53
Conroy Milk,schmendrikson,11,8,3,12.73,18.45,15.59,0.4364,0.71
Delta.357,Jeeda Sensei,7,0,7,21.43,5.0,13.21,0.0,0.53
Delta.357,Quali,7,0,7,21.43,5.57,13.5,0.0,0.52
Bidderlyn,valtry,10,10,0,2.2,20.5,11.35,0.0,0.88
Conroy Milk,valtry,9,9,0,8.56,18.78,13.67,0.0,0.66
DavidPrime83,Mr_Aapies,8,4,4,22.88,23.75,23.31,1.0,0.34
DavidPrime83,Siker_7,9,1,8,24.67,8.67,16.67,0.1646,0.54
DavidPrime83,valtry,8,3,5,23.0,18.75,20.88,0.6818,0.38
Jeeda Sensei,valtry,17,16,1,3.71,19.53,11.62,0.0672,1.46
Lovis,valtry,9,5,4,19.0,19.33,19.17,0.8466,0.47
Mr_Aapies,Xrenoid,11,1,10,21.0,8.36,14.68,0.1254,0.75
Mr_Aapies,luisarlen23,10,0,10,22.6,3.4,13.0,0.0,0.77
Mr_Aapies,valtry,12,5,7,19.92,18.25,19.08,0.7576,0.63
Mr_Aapies,Коmар,9,3,6,22.56,17.11,19.83,0.5797,0.45
Quali,valtry,16,16,0,5.19,19.25,12.22,0.0,1.31
S31gn3ur Chr3t13n,valtry,14,14,0,5.14,18.5,11.82,0.0,1.18
Siker_7,valtry,11,10,1,8.09,21.09,14.59,0.1254,0.75
Skoops!,WhiteNorth,7,7,0,8.43,20.57,14.5,0.0,0.48
Skoops!,valtry,15,15,0,6.07,19.27,12.67,0.0,1.18
Xrenoid,valtry,8,7,1,9.12,20.25,14.69,0.1923,0.54
luisarlen23,valtry,7,7,0,6.14,17.71,11.93,0.0,0.59
Bananahammockjoe,Frango,7,1,6,22.0,17.0,19.5,0.2286,0.36
Frango,Hfmotta,7,5,2,18.86,23.29,21.07,0.4969,0.33
Frango,Hirow,7,3,4,17.0,19.29,18.14,0.8163,0.39
Frango,JarJar,14,9,5,16.29,17.79,17.04,0.5952,0.82
Frango,Skoops!,15,0,15,17.8,6.87,12.33,0.0,1.22
Frango,camoutbussin,8,0,8,15.38,4.38,9.88,0.0,0.81
Conroy Milk,HZaninelli,7,7,0,14.14,25.29,19.71,0.0,0.36
Conroy Milk,Halswein,10,10,0,10.1,21.9,16.0,0.0,0.62
Dreamweaver,HZaninelli,8,7,1,11.88,24.25,18.06,0.1923,0.44
Grimning,Halswein,8,5,3,19.88,22.5,21.19,0.6818,0.38
HZaninelli,Jeeda Sensei,10,0,10,24.0,2.9,13.45,0.0,0.74
HZaninelli,ciga,9,3,6,23.44,17.44,20.44,0.5797,0.44
HZaninelli,Коmар,7,2,5,23.14,17.86,20.5,0.4969,0.34
Halswein,Mr_Aapies,9,4,5,22.44,22.56,22.5,0.8466,0.4
Halswein,Siker_7,9,0,9,23.0,6.44,14.72,0.0,0.61
Halswein,Xrenoid,8,0,8,23.0,6.38,14.69,0.0,0.54
Halswein,Коmар,7,1,6,23.29,18.14,20.71,0.2286,0.34
Dreamweaver,valtry,14,12,2,11.57,19.64,15.61,0.1905,0.9
Frango,Grimning,15,9,6,16.2,18.13,17.17,0.6957,0.87
Frango,HZaninelli,8,6,2,17.75,23.25,20.5,0.4167,0.39
Frango,Skit,15,4,11,17.07,11.8,14.43,0.3951,1.04
Frango,genevrier_ou,14,5,9,16.57,15.29,15.93,0.5952,0.88
Frango,valtry,8,4,4,21.5,20.38,20.94,1.0,0.38
Grimning,valtry,11,7,4,18.27,19.55,18.91,0.6324,0.58
HZaninelli,JarJar,8,4,4,23.25,19.75,21.5,1.0,0.37
HZaninelli,N Prime,7,0,7,23.86,2.86,13.36,0.0,0.52
JarJar,Skit,15,6,9,16.2,11.8,14.0,0.6957,1.07
JarJar,valtry,8,6,2,15.88,21.25,18.56,0.4167,0.43
N Prime,Skit,9,9,0,2.89,11.67,7.28,0.0,1.24
Skit,valtry,12,10,2,9.33,19.75,14.54,0.2381,0.83
genevrier_ou,valtry,11,9,2,12.27,19.27,15.77,0.2694,0.7
tsromanow,valtry,7,6,1,16.14,22.14,19.14,0.2286,0.37
Skit,Xrenoid,12,2,10,12.67,6.0,9.33,0.2381,1.29
Halswein,Skit,7,0,7,19.57,12.14,15.86,0.0,0.44
Halswein,genevrier_ou,9,2,7,22.0,12.67,17.33,0.3556,0.52
Mr_Aapies,genevrier_ou,14,4,10,20.43,14.21,17.32,0.4396,0.81
DavidPrime83,schmendrikson,7,1,6,25.86,18.86,22.36,0.2286,0.31
Siker_7,benreichardt,7,6,1,8.43,24.71,16.57,0.2286,0.42
Frango,schmendrikson,12,8,4,15.58,19.83,17.71,0.5556,0.68
Jeeda Sensei,flowerlady32,9,9,0,3.11,16.44,9.78,0.0,0.92
S31gn3ur Chr3t13n,flowerlady32,8,8,0,3.25,14.75,9.0,0.0,0.89
Skit,schmendrikson,8,8,0,10.38,20.5,15.44,0.0,0.52
blankE,flowerlady32,7,3,4,16.0,16.57,16.29,0.8163,0.43
Conroy Milk,genevrier_ou,14,8,6,12.79,13.29,13.04,0.7792,1.07
DavidPrime83,Skit,8,0,8,24.0,8.5,16.25,0.0,0.49
Halswein,blankE,8,1,7,23.25,13.88,18.56,0.1923,0.43
Coyface,valtry,7,0,7,25.29,17.86,21.57,0.0,0.32
Halswein,Skoops!,7,0,7,24.0,5.43,14.71,0.0,0.48
blankE,valtry,13,11,2,12.92,18.38,15.65,0.2122,0.83
Conroy Milk,Frango,12,7,5,12.17,13.67,12.92,0.7576,0.93
Frango,Pask74,7,4,3,15.0,19.29,17.14,0.8163,0.41
Conroy Milk,Varravann,8,7,1,10.62,17.25,13.94,0.1923,0.57
Frango,Mr_Aapies,11,6,5,15.82,21.82,18.82,0.8658,0.58
Frango,Varravann,7,5,2,13.86,19.14,16.5,0.4969,0.42
JarJar,Mr_Aapies,10,6,4,16.4,17.8,17.1,0.7273,0.58
JarJar,Varravann,7,3,4,16.57,16.86,16.71,0.8163,0.42
Mr_Aapies,Varravann,8,4,4,20.75,17.75,19.25,1.0,0.42
Mr_Aapies,masterv5983,7,1,6,23.29,15.43,19.36,0.2286,0.36
Mr_Aapies,schmendrikson,10,3,7,23.0,20.0,21.5,0.5,0.47
Bidderlyn,fmc91,7,7,0,1.71,15.43,8.57,0.0,0.82
Conroy Milk,fmc91,9,7,2,10.44,15.78,13.11,0.3556,0.69
Grimning,Varravann,8,5,3,18.12,18.5,18.31,0.6818,0.44
Grimning,flowerlady32,8,4,4,18.62,16.75,17.69,1.0,0.45
Grimning,fmc91,9,2,7,22.44,14.78,18.61,0.3556,0.48
Jeeda Sensei,fmc91,13,13,0,2.85,14.15,8.5,0.0,1.53
Mr_Aapies,fmc91,10,0,10,22.6,12.6,17.6,0.0,0.57
Quali,fmc91,13,13,0,4.92,14.15,9.54,0.0,1.36
S31gn3ur Chr3t13n,fmc91,12,10,2,5.5,13.67,9.58,0.2381,1.25
Siker_7,fmc91,10,10,0,7.0,15.6,11.3,0.0,0.88
Skoops!,fmc91,10,10,0,6.0,14.5,10.25,0.0,0.98
fmc91,genevrier_ou,8,4,4,14.88,16.25,15.56,1.0,0.51
Dreamweaver,fmc91,7,3,4,15.71,14.29,15.0,0.8163,0.47
Frango,fmc91,9,4,5,16.11,16.11,16.11,0.8466,0.56
fmc91,schmendrikson,7,6,1,13.86,21.43,17.64,0.2286,0.4
fmc91,tsromanow,9,3,6,14.44,12.56,13.5,0.5797,0.67
JarJar,fmc91,7,4,3,13.57,17.43,15.5,0.8163,0.45
blankE,fmc91,7,3,4,14.14,12.43,13.29,0.8163,0.53
fmc91,luisarlen23,8,0,8,16.25,5.88,11.06,0.0,0.72
Skit,fmc91,9,7,2,10.22,14.78,12.5,0.3556,0.72
Draghmar 🐲,Jeeda Sensei,9,0,9,21.11,2.67,11.89,0.0,0.76
Draghmar 🐲,Mr_Aapies,9,4,5,21.11,19.78,20.44,0.8466,0.44
Draghmar 🐲,Quali,9,0,9,21.11,3.89,12.5,0.0,0.72
Draghmar 🐲,S31gn3ur Chr3t13n,9,0,9,21.11,4.44,12.78,0.0,0.7
Draghmar 🐲,Skit,7,1,6,21.86,9.71,15.79,0.2286,0.44
Draghmar 🐲,Skoops!,8,0,8,20.75,4.25,12.5,0.0,0.64
Draghmar 🐲,fmc91,7,0,7,22.71,12.14,17.43,0.0,0.4
Draghmar 🐲,valtry,7,2,5,20.43,18.14,19.29,0.4969,0.36
Draghmar 🐲,blankE,7,1,6,19.43,12.86,16.14,0.2286,0.43
